,author,published_at,updated_at,like_count,text
73,@zv3456u-,2023-09-19T16:25:55Z,2023-09-19T16:25:55Z,0,tim burtns anger warner brother use batman michael keaton cameo superman niclas cage ia flash movie
74,@Jumbaride,2023-09-19T12:20:35Z,2023-09-19T12:20:35Z,4,im ashamed admit cry multiple time movie
75,@chaddrake1276,2023-09-19T05:19:40Z,2023-09-19T05:19:40Z,0,ben affleck shouldnt wear blue batsuit
76,@ruhlansahbazli44,2023-09-17T22:46:37Z,2023-09-17T22:46:37Z,0,end ben affleck role batman mean one movie
77,@fikretcelik3639,2023-09-17T18:52:18Z,2023-09-17T18:52:18Z,0,superman
78,@whateveridc6525,2023-09-17T08:32:31Z,2023-09-17T08:32:31Z,0,think jimmy fallon go back time year
79,@antoniobaptista1436,2023-09-17T05:08:52Z,2023-09-17T05:08:52Z,0,aa
80,@Gologo7,2023-09-16T03:59:51Z,2023-09-16T03:59:51Z,4,flash terrible
81,@Maharlika-PH,2023-09-15T01:11:14Z,2023-09-15T01:11:14Z,0,good movie still flop wth😅
82,@SIKE01,2023-09-14T16:17:32Z,2023-09-14T16:17:32Z,0,rick cosnett would perfect barry allen
83,@fredwatson441,2023-09-13T12:11:31Z,2023-09-13T12:11:31Z,0,w l miller gustin mmm
84,@michaeldesantaxd,2023-09-12T21:40:08Z,2023-09-12T21:40:08Z,0,💩
85,@marksereno6627,2023-09-12T16:32:57Z,2023-09-12T16:32:57Z,1,im sad say flash cant back real time line
86,@sheldinduplessis1424,2023-09-12T02:45:54Z,2023-09-12T02:45:54Z,0,movie prove dc make good movie
87,@T1Oracle,2023-09-12T01:51:46Z,2023-09-12T01:51:46Z,0,flash weak new batman maybe put together warner bros p cw flash x good
88,@user-sk7sr1nz9g,2023-09-10T14:19:37Z,2023-09-10T14:19:37Z,0,really like batman flash
89,@josuepaz7811,2023-09-09T21:59:20Z,2023-09-09T21:59:20Z,0,everything awesome except super girl super woman 🤷
90,@andreivladut11,2023-09-09T08:40:48Z,2023-09-09T08:40:48Z,0,cgi look like trailer mobile game
91,@Jr-vx8bu,2023-09-08T19:02:55Z,2023-09-08T19:02:55Z,0,michael keaton show still great batman time supergirl rock way tough superman flash funny love movie
92,@kelebogilechengeta4784,2023-09-08T16:34:30Z,2023-09-08T16:34:30Z,1,movie disappoint badly really bad ive never enjoy superhero movie
93,@mezzaf9113,2023-09-08T12:26:26Z,2023-09-08T12:26:26Z,1,like feel tire watch superhero movie nowadays😑
94,@fakavai,2023-09-08T07:12:19Z,2023-09-08T07:12:19Z,1,love film 👍😁😷☺☺
95,@charsysanna6771,2023-09-07T07:04:02Z,2023-09-07T07:04:02Z,0,emozionante mr
96,@charsysanna6771,2023-09-07T07:03:21Z,2023-09-07T07:03:21Z,0,🎉🎉🎉🎉🎉❤😮❤❤
97,@mitchjaveri8200,2023-09-07T03:27:54Z,2023-09-07T03:27:54Z,0,good entertain movie thank
98,@mumthazmumthaz9874,2023-09-06T09:42:47Z,2023-09-06T09:42:47Z,1,im batman give goosebumps🔥
99,@EvilZeroSc,2023-09-06T07:26:04Z,2023-09-06T07:27:02Z,2,movie could epic make billion dollar take movie seriously instead turn big joke terrible write act cgi discombulated mess buffoonery michael keaton ’ batman sasha calle supergirl waste trash
100,@herbertyoung6730,2023-09-06T02:53:45Z,2023-09-06T02:53:45Z,0,flash look like support hero focus different batman storyline look rush compare cw flash good great
