,author,published_at,updated_at,like_count,text
54,Xman4000,2023-11-13T11:22:58Z,2023-11-13T11:22:58Z,1,The worst movie in Marvel history
55,FilthyVirus,2023-11-13T11:17:56Z,2023-11-13T11:17:56Z,4,"Generic, forced and political statement driven garbage"
56,Marco Baez,2023-11-13T10:19:40Z,2023-11-13T10:19:40Z,4,I feel there are a lot of bots here... Lol
57,Tokyo Toronto,2023-11-13T09:04:27Z,2023-11-13T09:04:27Z,2,women and black. What a disaster combo. That why this movie suck
58,Zog Lasomp,2023-11-13T08:56:15Z,2023-11-13T08:56:15Z,1,"‘The Marvels’ Flops at International Box Office With $63 Million, Dramatically Behind 2019’s ‘Captain Marvel’- Variety"
59,Dark Knight,2023-11-13T08:25:02Z,2023-11-13T08:25:02Z,1,I dont like the muslim actor. someone else should play kamala khan
60,Drednaut505,2023-11-13T08:11:40Z,2023-11-13T08:11:40Z,4,Let’s not forget the avengers cast hates the clown larson
61,Prometheus,2023-11-13T07:32:56Z,2023-11-13T07:32:56Z,4,Kitty Fight. So adorable 🤦🏻‍♂️
62,Steve Vadeboncoeur,2023-11-13T07:22:10Z,2023-11-13T07:22:10Z,3,"brie's smug ""I don't hate White dudes"" speech was abhorrent and unacceptable"
63,Longy Dongy,2023-11-13T07:02:54Z,2023-11-13T07:02:54Z,0,Heard this 💩 show 💣 at the box office 😂
64,D3w1 D3w1,2023-11-13T06:39:40Z,2023-11-13T06:39:40Z,4,"The worst marvel movie i've ever watched in theatre.. waste of time, money, energy.. so lame...i'd rather just watch netflix at home..."
65,Shivam004,2023-11-13T06:20:33Z,2023-11-13T06:20:33Z,0,"If i watch, the reason is that cat."
66,Tomatosauce44,2023-11-13T05:50:53Z,2023-11-13T05:50:53Z,0,LMAO 😂
67,Drednaut505,2023-11-13T05:43:21Z,2023-11-13T05:43:21Z,2,I hope one day there will be justice for the victims of brie's TimesUp scam - Jussie Smollett
68,Zoltan,2023-11-13T05:27:15Z,2023-11-13T05:27:15Z,0,Lesssss go sisters
69,Clarkson-san_in_Japan,2023-11-13T05:21:42Z,2023-11-13T05:21:42Z,0,Formulaic...
70,Lia Umat,2023-11-13T04:59:31Z,2023-11-13T04:59:31Z,13,"The last scene where 3 of them attack the villain at the same time reminds me of the Avengers: Age of Ultron when Ironman, Thor and Vision attacked Ultron"
71,Dirk Squarejaw,2023-11-13T04:57:23Z,2023-11-13T04:57:23Z,1,"Hugely successful film FRANCHISES (not single films, but actual franchises) that featured a female lead:
the Aliens films, the Tomb Raider films, the Resident Evil films, the Hunger Games films, the Charlie's Angels films, the Twilight films, the Underworld films, the Divergent films, the Wonder Woman films, but yeah, t0xIC mAsCUlIniTY is the reason why this failed lol"
72,The Players club,2023-11-13T04:57:20Z,2023-11-13T04:57:20Z,1,ANY white men in this movie??  hard f'in pass!
73,kanhaiya kumar,2023-11-13T04:54:47Z,2023-11-13T04:54:47Z,1,RESET CAPTAIN MARVEL LIKE HULK...
74,Steve Vadeboncoeur,2023-11-13T04:52:39Z,2023-11-13T04:52:39Z,3,Reading the comments it's no wonder there are medical experts and professional psychologists that consider celebrity worship a disorder
75,Minimalist SG,2023-11-13T04:13:26Z,2023-11-13T04:13:26Z,1,"Kamala Kahn is the best part of this movie, the rest is just crap."
76,ItzMe,2023-11-13T04:10:00Z,2023-11-13T04:10:00Z,1,🥱
77,Duran,2023-11-13T03:44:18Z,2023-11-13T03:44:18Z,0,"❌ Let’s NOT kid ourselves ❌
The Marvels failed because they refused to show too much flesh 😒 Imagine Brie Larson wearing superhero bikini all the film🔥"
78,IX_Splintert_XI,2023-11-13T03:35:00Z,2023-11-13T03:35:00Z,2,"this movie was a waste of money to make, had all reasons to do bad in theaters"
79,Hated Critic,2023-11-13T03:22:49Z,2023-11-13T03:22:49Z,2,Lowest grossing MCU opening.. You know it's bad when even the Chinese community hates it. What a joke
80,wildflower,2023-11-13T03:20:19Z,2023-11-13T03:20:19Z,1,Are this the Spicegirls?
81,NickelSack79,2023-11-13T02:49:11Z,2023-11-13T02:49:11Z,3,"At this point , Disney is just laundering money. Who asked for this garbage?"
82,Brothers Traveler,2023-11-13T02:45:46Z,2023-11-13T02:45:46Z,2,last 2-3 years marvel series movie look like a cartoon
83,DB800187,2023-11-13T02:35:39Z,2023-11-13T02:35:39Z,0,You can see the results of how uninterested the fans are by the box office results. MAKE MOVIES ABOUT THE CHARACTERS WE WANT TO SEE!! How about starting off with a Hulk film where he is a raging beast! Or is that too much toxic masculinity?🤦🏻‍♂️
84,Boogiebagflipper,2023-11-13T02:30:50Z,2023-11-13T02:30:50Z,5,This movie legit fing sucked. 😂
85,Sudarshan Shete,2023-11-13T02:22:40Z,2023-11-13T02:22:40Z,1,Switching to DC🙄
86,Tyty,2023-11-13T02:13:02Z,2023-11-13T02:13:02Z,2,Do not See this movie m c u is over
87,Dagawd,2023-11-13T02:08:07Z,2023-11-13T02:08:07Z,1,Brie Larson is on top of the world ! #1 at the world wide box office. 💪🔥
88,Dagawd,2023-11-13T02:07:38Z,2023-11-13T02:07:38Z,1,"Its so amazing how everyone is watching and reacting to this movie. the grifters gotta grift!
!"
89,Dagawd,2023-11-13T02:07:30Z,2023-11-13T02:07:30Z,1,Its so amazing how everyone is watching and reacting to this movie. the grifters gotta grift!
90,Aj Dennard,2023-11-13T02:03:19Z,2023-11-13T02:03:19Z,1,Movie is awesome dont believe the critics
91,Salil Chincholikar,2023-11-13T02:02:17Z,2023-11-13T02:02:17Z,0,Mid
92,Anthon Jontah,2023-11-13T01:54:43Z,2023-11-13T01:54:43Z,0,This maybe the worst Marvel's movies..
93,Cehnd,2023-11-13T01:52:25Z,2023-11-13T01:52:25Z,1,what is this icarly like story bro
94,karell t,2023-11-13T01:48:15Z,2023-11-13T01:48:15Z,1,Who's the villain? Never Heard of her....
95,Drednaut505,2023-11-13T01:48:04Z,2023-11-13T01:48:04Z,4,hollywood clowns are just as bright and just as talented as regular clowns
96,Kevin M. Butler,2023-11-13T01:44:55Z,2023-11-13T01:44:55Z,2,This movie was a million times better than the last two Thor movies.
97,Dan Hotes,2023-11-13T01:26:36Z,2023-11-13T01:26:36Z,0,Superman with Christopher Reeves is better
98,Jan Michiels,2023-11-13T01:03:57Z,2023-11-13T01:03:57Z,0,hahahahaha marvel bad
99,Steve Vadeboncoeur,2023-11-13T00:45:41Z,2023-11-13T00:45:41Z,2,Marvel EXPOSED! Disney is in Full PANIC Mode | deploy the brie bots
100,Erick Estrada,2023-11-13T00:17:12Z,2023-11-13T00:17:12Z,2,"THIS IS EASILY BY FAR THE WORST MARVEL MOVIE EVER.  I was about to walk out the theater in the middle of the movie, this was painful to watch, Nothing makes sense in this movie plus the characters feel so forced I felt like I was watching a Disney movie and not a Marvel Movie."
101,Rio Weber,2023-11-13T00:12:37Z,2023-11-13T00:12:37Z,3,"lol, nice, no wonder it's tanking"
102,BlueTint,2023-11-12T23:59:20Z,2023-11-12T23:59:20Z,0,"I was a skeptic too, but I had nothing going on this weekend so I gave it a watch. I actually really enjoyed it.

Maybe this movie can do an Elemental and be salvaged by word of mouth."
103,Corbin Leonard,2023-11-12T23:58:42Z,2023-11-12T23:58:42Z,0,Dude what they saying    they are bringing back the og team. How that apoes to work    ho no what is going my  head is ex  boom   a other person later what a minute. If Cassie a altud in endgame. And now she is a teenager how that apoes to work ho no  what is the matter  my head is ex boom
104,Gunny Studios,2023-11-12T23:54:13Z,2023-11-12T23:54:13Z,3,"it was incredible, i think i started my monthly from all this toxic estrogen.  And all those cats, it was a great meowfest.  Thank you Marvel, i really feel my inner woman."
105,Donald umunawa,2023-11-12T23:53:36Z,2023-11-12T23:53:36Z,1,"Is this a new version of ""The View?"""
106,rpbboys805,2023-11-12T23:46:46Z,2023-11-12T23:46:46Z,2,I walked out halfway through  the movie .
107,Avatar of Hate,2023-11-12T23:45:06Z,2023-11-12T23:45:06Z,0,"Nope, we re not doin this!"
108,Kris,2023-11-12T23:25:54Z,2023-11-12T23:25:54Z,11,"Comment section:
Bots: most amazing Marvel movie ever, that one scene was so breathtaking ❤😮


Real people: wtf is this generic crap?"
109,BruhZooka,2023-11-12T23:15:58Z,2023-11-12T23:15:58Z,0,looks like teerash bag!
110,Solar Travel,2023-11-12T23:14:51Z,2023-11-12T23:14:51Z,0,"Even the trailer is bad. OMGOSH. Disney has sunk the battleship after they bought it. Many people predicted this. But not the overpriced executives at Disney.,"
111,Poop Sock,2023-11-12T23:12:27Z,2023-11-12T23:12:27Z,3,South Park... that is all.
112,lea monika,2023-11-12T23:10:27Z,2023-11-12T23:10:27Z,0,the worst marvel movie they ever made this is not avengers any more its disney garbage
113,Prakash Rajput,2023-11-12T23:07:14Z,2023-11-12T23:07:14Z,0,This is something you tubers produce these days. Mr beast can create far better movie than marvels. I watched it and I say don't waste your money.
114,BigPopa,2023-11-12T23:06:28Z,2023-11-12T23:06:28Z,0,"This movie was more like Barbie in space. Iron Man, Cap, Thor, and Infinity Wars were the peak of the MCU. Horrible, horrible, horrible movie."
115,Vile,2023-11-12T23:00:43Z,2023-11-12T23:00:43Z,0,"To all the Marvel fanboy bots who said this wouldn’t bomb are nowhere to be found lol. Movie is so bad 

Marvel/Disney needa go"
116,중,2023-11-12T22:50:54Z,2023-11-12T22:50:54Z,2,재미없을듯
117,Arif Kaka,2023-11-12T22:32:52Z,2023-11-12T22:32:52Z,0,Capt Marvel jago bnget😂
118,Ley,2023-11-12T22:24:19Z,2023-11-12T22:24:33Z,0,"Can Marvel for once stop being goofy and make a serious movie?!
I mean, the first movies were like this, but since the end of phase 3 it’s the worst, nothing is serious anymore"
119,Sonny Prince,2023-11-12T22:20:18Z,2023-11-12T22:20:18Z,0,The film bombed and I’m not surprised. I haven’t seen the film so I can’t say if it’s good or bad but I guess it just goes to show that people are just so tired of these films now. The MCU needs a long break.
