,author,published_at,updated_at,like_count,text
125,@radicalrikki-oh4323,2023-11-28T02:07:56Z,2023-11-28T02:07:56Z,0,come want friend friend old enemy take time hurry choice dont late take rest friend old memoria memoria memoria memoria come douse mud soak bleach want trend friend old memoria memoria memoria memoria swear dont gun dont gun dont gun memoria memoria memoria dont gun swear dont gun dont gun dont gun dont gun dont gun
126,@Nebula1146,2023-11-28T01:31:15Z,2023-11-28T01:31:15Z,1,k dislike
127,@noelb9197,2023-11-27T21:15:22Z,2023-11-27T21:15:22Z,3,know move terrible disney pay loser say fake news anyone disagree
128,@IlokanoWarrior,2023-11-27T20:18:47Z,2023-11-27T20:18:47Z,0,’ let negative people ruin see marvel ’ fun movie
129,@adddy6877,2023-11-27T19:44:12Z,2023-11-27T19:44:12Z,1,flop
130,@peteinthedesert7082,2023-11-27T19:24:54Z,2023-11-27T19:24:54Z,2,love part movie briecapt marvel stand front darbenn yell shall pas goosebumps🤪
131,@emmon5377,2023-11-27T18:35:10Z,2023-11-27T18:35:10Z,4,lame feminist movie pander girl didnt even want ticket lol marvel big flop mcu history possibly bad perform comic book movie ever make
132,@IlokanoWarrior,2023-11-27T18:00:15Z,2023-11-27T18:00:15Z,0,best movie theater right go see ’ xtradimensional get ready assemble
133,@uhgal,2023-11-27T17:40:37Z,2023-11-27T17:40:37Z,3,🤮🤮🤮
134,@AbdulJabbar2005,2023-11-27T17:29:05Z,2023-11-27T17:29:05Z,4,get bore watch trailer
135,@bchillbong-uf2io,2023-11-27T16:47:50Z,2023-11-27T16:47:50Z,1,aweful im happy u agree
136,@emmon5377,2023-11-27T15:58:20Z,2023-11-27T15:58:20Z,2,really corny use og avenger market feminist cringe
137,@bayushiteishiru6291,2023-11-27T15:27:44Z,2023-11-27T15:27:44Z,1,k dislike fire rise
138,@user-mm8lg1wt8r,2023-11-27T15:13:26Z,2023-11-27T15:13:26Z,2,feminist finally take marvel
139,@user-vc7in3xo3m,2023-11-27T14:38:48Z,2023-11-27T14:38:48Z,2,expect movie bomb big timejustice serve
140,@emmon5377,2023-11-27T12:13:26Z,2023-11-27T12:13:26Z,2,super lame flop lol
